hzname,siteid,plotid,horizonid,pittype,latitude,longitude,hzndept,hzndepb,modifieddept,modifieddepb,midpointcm,sandtotal,silttotal,claytotal,bulkdensovendry,bulkdensfieldmoist,fieldcapacity,wiltingpoint,ksat_T,ksat_T_std
Bt1,SERC,,,Megapit,38.8983028,-76.5588333,37,60,35.0,58.0,48.5,52.7,16.1,31.2,,,,,9.452125,1.276268
Bt2,SERC,,,Megapit,38.8983028,-76.5588333,60,75,58.0,73.0,67.5,52.8,15.5,31.7,,,,,9.410974,1.279888
Bt3,SERC,,,Megapit,38.8983028,-76.5588333,75,85,73.0,83.0,80.0,50.85,19.7,29.45,,,,,9.413429,1.256195
Btg1,SERC,,,Megapit,38.8983028,-76.5588333,85,131,83.0,129.0,108.0,53.1,22.6,24.3,,,,,11.734614,1.221801
Btg2,SERC,,,Megapit,38.8983028,-76.5588333,131,147,129.0,145.0,139.0,50.5,26.2,23.3,,,,,11.673249,1.213021
C,SERC,,,Megapit,38.8983028,-76.5588333,147,156,145.0,154.0,151.5,64.4,17.7,17.9,,,,,21.161574,1.193762
Cg,SERC,,,Megapit,38.8983028,-76.5588333,156,187,154.0,185.0,171.5,62.8,17.3,19.9,,,,,17.925548,1.208106
C',SERC,,,Megapit,38.8983028,-76.5588333,187,200,185.0,198.0,193.5,80.7,7.7,11.6,,,,,65.333354,1.150639
Ap,DSNY,,,Megapit,28.1291889,-81.4339194,0,9,,,4.5,94.0,5.3,0.7,,,,,735.378765,1.169124
AE,DSNY,,,Megapit,28.1291889,-81.4339194,9,26,,,17.5,97.2,2.8,0.0,,,,,1131.483998,1.185989
E,DSNY,,,Megapit,28.1291889,-81.4339194,26,43,,,34.5,96.7,3.3,0.0,,,,,1067.026272,1.181962
Bh1,DSNY,,,Megapit,28.1291889,-81.4339194,43,55,,,49.0,94.5,4.0,1.5,,,,,745.565502,1.126851
Bh2,DSNY,,,Megapit,28.1291889,-81.4339194,55,69,,,62.0,95.5,3.2,1.3,,,,,855.533994,1.121043
E'1,DSNY,,,Megapit,28.1291889,-81.4339194,69,99,,,84.0,97.3,2.7,0.0,,,,,1144.734218,1.187296
E'2,DSNY,,,Megapit,28.1291889,-81.4339194,99,136,,,117.5,97.1,2.2,0.7,,,,,1075.201146,1.147813
E'3,DSNY,,,Megapit,28.1291889,-81.4339194,136,152,,,144.0,97.2,2.8,0.0,,,,,1131.483998,1.185989
B'h,DSNY,,,Megapit,28.1291889,-81.4339194,152,204,,,178.0,96.5,3.3,0.2,,,,,1030.285538,1.168905
Ap,JERC,,,Megapit,31.1582778,-84.4977222,0,33,,,16.5,86.2,12.0,1.8,,,,,243.99031,1.254771
E1,JERC,,,Megapit,31.1582778,-84.4977222,33,62,,,47.5,84.5,12.2,3.3,,,,,178.832421,1.220171
E2,JERC,,,Megapit,31.1582778,-84.4977222,62,76,,,69.0,81.1,11.2,7.7,,,,,92.572579,1.156075
Bt,JERC,,,Megapit,31.1582778,-84.4977222,76,92,,,84.0,76.4,8.6,15.0,,,,,37.937798,1.139132
BC,JERC,,,Megapit,31.1582778,-84.4977222,92,118,,,105.0,80.1,8.6,11.3,,,,,64.150924,1.149995
C,JERC,,,Megapit,31.1582778,-84.4977222,118,203,,,160.5,,,,,,,,,
A,OSBS,,,Megapit,29.6882139,-81.993425,0,7,,,3.5,97.0,2.0,1.0,,,,,1044.492687,1.135205
Bw1,OSBS,,,Megapit,29.6882139,-81.993425,7,28,,,17.5,97.6,1.5,0.9,,,,,1127.367704,1.150841
Bw2,OSBS,,,Megapit,29.6882139,-81.993425,28,125,,,76.5,97.3,1.6,1.1,,,,,1076.061903,1.138003
Bw3,OSBS,,,Megapit,29.6882139,-81.993425,125,200,,,162.5,97.0,1.3,1.7,,,,,1002.788681,1.123228
A,GUAN,,,Megapit,17.96882,-66.86888,0,30,,,15.0,7.7,57.4,34.9,,,,,11.769065,1.308161
Bk1,GUAN,,,Megapit,17.96882,-66.86888,30,55,,,42.5,6.2,46.4,47.4,,,,,15.943214,1.47932
Bk2,GUAN,,,Megapit,17.96882,-66.86888,55,86,,,70.5,4.2,45.0,50.8,,,,,17.639663,1.628306
Bk3,GUAN,,,Megapit,17.96882,-66.86888,86,105,,,95.5,5.3,36.7,58.0,,,,,23.500509,1.92388
BCk,GUAN,,,Megapit,17.96882,-66.86888,105,126,,,115.5,6.3,33.9,59.8,,,,,24.707485,2.020839
C,GUAN,,,Megapit,17.96882,-66.86888,126,161,,,143.5,8.6,36.55,54.85,,,,,21.257682,1.742295
Cr,GUAN,,,Megapit,17.96882,-66.86888,161,203,,,182.0,12.6,53.4,34.0,,,,,11.628851,1.28538
Ap,LAJA,,,Megapit,18.0218444,-67.0760833,0,27,,,13.5,18.7,26.0,55.3,,,,,16.374401,1.733769
ABss,LAJA,,,Megapit,18.0218444,-67.0760833,27,55,,,41.0,15.7,24.0,60.3,,,,,19.392109,1.905885
Bssyz,LAJA,,,Megapit,18.0218444,-67.0760833,55,83,,,69.0,16.8,24.2,59.0,,,,,18.478453,1.850412
Bkssyz,LAJA,,,Megapit,18.0218444,-67.0760833,83,107,,,95.0,40.2,22.9,36.9,,,,,7.496754,1.370945
2Bky,LAJA,,,Megapit,18.0218444,-67.0760833,107,145,,,126.0,47.8,22.7,29.5,,,,,8.855061,1.25847
2C,LAJA,,,Megapit,18.0218444,-67.0760833,145,164,,,154.5,61.2,18.1,20.7,,,,,16.54383,1.216876
3C,LAJA,,,Megapit,18.0218444,-67.0760833,164,176,,,170.0,63.2,15.2,21.6,,,,,16.285656,1.214795
4C,LAJA,,,Megapit,18.0218444,-67.0760833,176,203,,,189.5,16.7,31.6,51.7,,,,,15.996932,1.573015
A,STEI,,,Megapit,45.5074944,-89.5888861,0,14,,,7.0,50.2,40.6,9.2,,,,,31.898865,1.415796
