hzname,siteid,plotid,horizonid,pittype,latitude,longitude,hzndept,hzndepb,modifieddept,modifieddepb,midpointcm,sandtotal,silttotal,claytotal,bulkdensovendry,bulkdensfieldmoist,fieldcapacity,wiltingpoint,ksat_T,ksat_T_std
2Cg,WOOD,WOOD_029,16N01632,Distributed,47.122,-99.239,61,100,60.0,99.0,80.5,73.5,13.7,12.8,,,,,39.992711,1.1399
Oe,WOOD,WOOD_030,16N01633,Distributed,47.137925,-99.243418,0,15,-15.0,0.0,7.5,18.2,52.0,29.8,,,,,11.275639,1.262609
Ag1,WOOD,WOOD_030,16N01634,Distributed,47.137925,-99.243418,15,23,0.0,8.0,19.0,12.0,38.4,49.6,,,,,17.021787,1.527238
Ag2,WOOD,WOOD_030,16N01635,Distributed,47.137925,-99.243418,23,38,8.0,23.0,30.5,18.1,37.8,44.1,,,,,12.832827,1.3784
Ag3,WOOD,WOOD_030,16N01636,Distributed,47.137925,-99.243418,38,107,23.0,92.0,72.5,22.1,40.1,37.8,,,,,10.580444,1.315338
Cg1,WOOD,WOOD_030,16N01637,Distributed,47.137925,-99.243418,107,133,92.0,118.0,120.0,22.4,40.6,37.0,,,,,10.469596,1.312947
Cg2,WOOD,WOOD_030,16N01638,Distributed,47.137925,-99.243418,133,200,118.0,185.0,166.5,16.5,46.5,37.0,,,,,11.512336,1.288004
A,WOOD,WOOD_042,16N01639,Distributed,47.128,-99.243,0,29,,,14.5,22.7,47.6,29.7,,,,,10.837965,1.286402
EB,WOOD,WOOD_042,16N01640,Distributed,47.128,-99.243,29,35,,,32.0,21.8,48.2,30.0,,,,,10.888122,1.280255
Bt1,WOOD,WOOD_042,16N01641,Distributed,47.128,-99.243,35,70,,,52.5,21.9,40.3,37.8,,,,,10.626834,1.314001
Bt2,WOOD,WOOD_042,16N01642,Distributed,47.128,-99.243,70,100,,,85.0,28.3,31.5,40.2,,,,,8.607428,1.427255
Bk,WOOD,WOOD_042,,Distributed,47.128,-99.243,100,108,,,104.0,,,,,,,,,
2BCk,WOOD,WOOD_042,,Distributed,47.128,-99.243,108,200,,,154.0,,,,,,,,,
A,WOOD,WOOD_043,16N01643,Distributed,47.132,-99.243,0,44,,,22.0,36.8,36.5,26.7,,,,,8.647763,1.406553
Bw,WOOD,WOOD_043,16N01644,Distributed,47.132,-99.243,44,66,,,55.0,25.0,44.2,30.8,,,,,10.362478,1.317832
Bk,WOOD,WOOD_043,16N01645,Distributed,47.132,-99.243,66,100,,,83.0,16.7,52.6,30.7,,,,,11.31095,1.265153
BCk,WOOD,WOOD_043,,Distributed,47.132,-99.243,100,200,,,150.0,,,,,,,,,
Ap,WOOD,WOOD_044,16N01646,Distributed,47.128106,-99.243791,0,20,,,10.0,51.9,28.6,19.5,,,,,14.838537,1.201013
Bw,WOOD,WOOD_044,16N01647,Distributed,47.128106,-99.243791,20,30,,,25.0,41.2,36.8,22.0,,,,,10.458094,1.435675
Bk,WOOD,WOOD_044,16N01648,Distributed,47.128106,-99.243791,30,100,,,65.0,27.2,51.2,21.6,,,,,13.79516,1.271186
Ap,WOOD,WOOD_045,16N01649,Distributed,47.128,-99.245,0,20,,,10.0,49.5,32.4,18.1,,,,,15.367017,1.200771
ABk,WOOD,WOOD_045,16N01650,Distributed,47.128,-99.245,20,36,,,28.0,47.9,34.4,17.7,,,,,15.139371,1.230819
Bk,WOOD,WOOD_045,16N01651,Distributed,47.128,-99.245,36,70,,,53.0,30.4,47.6,22.0,,,,,13.214054,1.314393
BCk,WOOD,WOOD_045,16N01652,Distributed,47.128,-99.245,70,100,,,85.0,37.7,44.0,18.3,,,,,15.258514,1.314479
A,OAES,OAES_002,16N02123,Distributed,35.41985,-99.05237,0,11,,,5.5,11.3,68.7,20.0,1.47,,,0.34816,15.474201,1.273674
Bw,OAES,OAES_002,16N02124,Distributed,35.41985,-99.05237,11,26,,,18.5,14.9,66.8,18.3,1.45,,,0.31188,17.40343,1.241462
R,OAES,OAES_002,,Distributed,35.41985,-99.05237,26,100,,,63.0,,,,,,,,,
A,OAES,OAES_003,16N02125,Distributed,35.41225,-99.06966,0,10,,,5.0,26.0,57.0,17.0,1.44,,,0.2912,18.760798,1.229945
R,OAES,OAES_003,,Distributed,35.41225,-99.06966,10,200,,,105.0,,,,,,,,,
A,OAES,OAES_004,16N02126,Distributed,35.4122778,-99.0852778,0,18,,,9.0,11.3,55.1,33.6,1.33,,,0.33201,11.667698,1.287245
BA,OAES,OAES_004,16N02127,Distributed,35.4122778,-99.0852778,18,38,,,28.0,10.1,55.5,34.4,1.53,,,0.30774,11.774731,1.295607
Bw1,OAES,OAES_004,16N02128,Distributed,35.4122778,-99.0852778,38,65,,,51.5,16.9,53.7,29.4,1.55,,,0.22752,11.442607,1.260709
Bw2,OAES,OAES_004,16N02129,Distributed,35.4122778,-99.0852778,65,100,,,82.5,20.2,51.5,28.3,1.65,,,0.21573,11.35729,1.261107
A,OAES,OAES_005,16N02130,Distributed,35.40445,-99.0800278,0,11,,,5.5,25.7,51.7,22.6,1.46,,,0.20824,13.21546,1.263482
Bw1,OAES,OAES_005,16N02131,Distributed,35.40445,-99.0800278,11,27,,,19.0,22.4,51.4,26.2,1.54,,,0.1764,11.744604,1.261102
Bw2,OAES,OAES_005,16N02132,Distributed,35.40445,-99.0800278,27,38,,,32.5,19.2,52.1,28.7,1.5,,,0.21615,11.365117,1.260047
R,OAES,OAES_005,,Distributed,35.40445,-99.0800278,38,200,,,119.0,17.0,65.2,17.8,1.42,,,0.25296,18.040973,1.226404
A,OAES,OAES_007,16N02133,Distributed,35.4199889,-99.0576972,0,15,,,7.5,17.0,65.2,17.8,1.42,,,0.25296,18.040973,1.226404
Cr,OAES,OAES_007,16N02134,Distributed,35.4199889,-99.0576972,15,30,,,22.5,13.1,65.3,21.6,,,,,14.413814,1.258701
R,OAES,OAES_007,,Distributed,35.4199889,-99.0576972,30,200,,,115.0,,,,,,,,,
A,OAES,OAES_010,16N02135,Distributed,35.3990778,-99.0604,0,18,,,9.0,8.7,69.6,21.7,1.51,,,0.2992,13.889036,1.315429
BA,OAES,OAES_010,16N02136,Distributed,35.3990778,-99.0604,18,38,,,28.0,10.6,68.9,20.5,1.47,,,0.23016,14.996169,1.282467
Bw1,OAES,OAES_010,16N02137,Distributed,35.3990778,-99.0604,38,68,,,53.0,11.5,68.0,20.5,1.49,,,0.23322,15.096254,1.271302
Bw2,OAES,OAES_010,16N02138,Distributed,35.3990778,-99.0604,68,100,,,84.0,11.0,69.7,19.3,1.44,,,0.24924,16.046488,1.278988
A,OAES,OAES_012,16N02139,Distributed,35.4028,-99.0647694,0,6,,,3.0,14.3,70.0,15.7,,1.28,,,20.922092,1.269584
Bw,OAES,OAES_012,16N02140,Distributed,35.4028,-99.0647694,6,17,,,11.5,19.0,64.3,16.7,,1.73,,,19.522722,1.21801
R,OAES,OAES_012,,Distributed,35.4028,-99.0647694,17,200,,,108.5,,,,,,,,,
A,OAES,OAES_014,16N02141,Distributed,35.3996889,-99.0580694,0,28,,,14.0,11.8,71.9,16.3,1.32,,,0.31,19.651409,1.295998
Bw1,OAES,OAES_014,16N02142,Distributed,35.3996889,-99.0580694,28,55,,,41.5,15.2,70.3,14.5,1.42,,,0.24628,23.140987,1.282337
Bw2,OAES,OAES_014,16N02143,Distributed,35.3996889,-99.0580694,55,84,,,69.5,15.3,71.5,13.2,1.47,,,0.22632,25.886921,1.320686
R,OAES,OAES_014,,Distributed,35.3996889,-99.0580694,84,200,,,142.0,,,,,,,,,
A,OAES,OAES_015,16N02144,Distributed,35.42114,-99.05283,0,20,,,10.0,17.7,67.5,14.8,1.23,,,0.27328,22.720234,1.245963
Bw,OAES,OAES_015,16N02145,Distributed,35.42114,-99.05283,20,46,,,33.0,16.8,67.0,16.2,1.47,,,0.26928,20.278948,1.235079
Cr,OAES,OAES_015,16N02146,Distributed,35.42114,-99.05283,46,58,,,52.0,15.0,72.4,12.6,,,,,27.266274,1.349634
R,OAES,OAES_015,,Distributed,35.42114,-99.05283,58,200,,,129.0,,,,,,,,,
A,OAES,OAES_016,16N02147,Distributed,35.4107111,-99.0692889,0,8,,,4.0,13.6,62.3,24.1,1.33,,,0.34798,13.053138,1.260712
Bw,OAES,OAES_016,16N02148,Distributed,35.4107111,-99.0692889,8,28,,,18.0,14.5,58.7,26.8,1.39,,,0.33669,12.100958,1.260011
R,OAES,OAES_016,,Distributed,35.4107111,-99.0692889,28,200,,,114.0,,,,,,,,,
Ap,OAES,OAES_019,16N02149,Distributed,35.4039083,-99.0773778,0,11,,,5.5,19.1,63.9,17.0,1.24,,,0.2744,19.085583,1.216823
Cr,OAES,OAES_019,16N02150,Distributed,35.4039083,-99.0773778,11,20,,,15.5,32.9,52.6,14.5,,,,,22.638978,1.322093
R,OAES,OAES_019,,Distributed,35.4039083,-99.0773778,20,200,,,110.0,,,,,,,,,
A,OAES,OAES_020,16N02151,Distributed,35.40145,-99.0562,0,7,,,3.5,13.7,72.4,13.9,,1.14,,,24.125668,1.324328
Bw/Cr,OAES,OAES_020,16N02152,Distributed,35.40145,-99.0562,7,18,,,12.5,16.5,67.1,16.4,,1.77,,,19.963152,1.235926
Cr,OAES,OAES_020,16N02153,Distributed,35.40145,-99.0562,18,30,,,24.0,22.1,57.8,20.1,,,,,15.378479,1.224336
R,OAES,OAES_020,,Distributed,35.40145,-99.0562,30,200,,,115.0,,,,,,,,,
A,OAES,OAES_025,16N02154,Distributed,35.4189,-99.0472,0,21,,,10.5,12.4,69.3,18.3,1.51,,,0.29512,17.221067,1.266123
Cr,OAES,OAES_025,16N02155,Distributed,35.4189,-99.0472,21,37,,,29.0,17.0,70.7,12.3,,,,,28.286868,1.328382
R,OAES,OAES_025,,Distributed,35.4189,-99.0472,37,200,,,118.5,,,,,,,,,
A,OAES,OAES_029,16N02156,Distributed,35.41554,-99.048998,0,16,,,8.0,16.9,66.8,16.3,1.43,,,0.27537,20.126199,1.233355
Bw,OAES,OAES_029,16N02157,Distributed,35.41554,-99.048998,16,42,,,29.0,14.0,70.5,15.5,1.4,,,0.25004,21.217232,1.277485
Bw/Cr,OAES,OAES_029,16N02158,Distributed,35.41554,-99.048998,42,58,,,50.0,13.0,73.0,14.0,1.41,,,0.27117,23.790568,1.333823
Cr,OAES,OAES_029,16N02159,Distributed,35.41554,-99.048998,58,79,,,68.5,14.2,71.3,14.5,,,,,23.021665,1.297712
R,OAES,OAES_029,,Distributed,35.41554,-99.048998,79,200,,,139.5,,,,,,,,,
A,OAES,OAES_030,16N02160,Distributed,35.4098889,-99.0712778,0,8,,,4.0,24.1,63.3,12.6,1.23,,,0.30044,27.61123,1.262216
Bw,OAES,OAES_030,16N02161,Distributed,35.4098889,-99.0712778,8,25,,,16.5,24.4,61.4,14.2,1.27,,,0.2574,23.808448,1.231957
R,OAES,OAES_030,,Distributed,35.4098889,-99.0712778,25,200,,,112.5,,,,,,,,,
A,DELA,DELA_002,16N02356,Distributed,35.5322222,-87.8180556,0,9,,,4.5,8.6,53.2,38.2,1.35,,,0.31625,12.465864,1.328738
Bt1,DELA,DELA_002,16N02357,Distributed,35.5322222,-87.8180556,9,24,,,16.5,22.4,37.7,39.9,1.55,,,0.26901,10.629502,1.316722
Bt2,DELA,DELA_002,16N02358,Distributed,35.5322222,-87.8180556,24,63,,,43.5,19.9,37.4,42.7,1.57,,,0.29547,11.869838,1.347023
Bt3,DELA,DELA_002,16N02359,Distributed,35.5322222,-87.8180556,63,90,,,76.5,42.3,31.5,26.2,1.66,,,0.24963,8.764096,1.35624
A,DELA,DELA_003,16N02360,Distributed,32.5347694,-87.8153,0,6,,,3.0,1.8,61.2,37.0,1.41,,,0.40894,10.590682,1.522044
Bt,DELA,DELA_003,16N02361,Distributed,32.5347694,-87.8153,6,36,,,21.0,6.3,46.5,47.2,1.57,,,0.34506,15.84292,1.472962
2Bt1,DELA,DELA_003,16N02362,Distributed,32.5347694,-87.8153,36,70,,,53.0,4.9,53.4,41.7,1.54,,,0.32289,13.139499,1.388048
2Bt2,DELA,DELA_003,16N02363,Distributed,32.5347694,-87.8153,70,90,,,80.0,3.8,53.4,42.8,1.65,,,0.3388,13.295221,1.435841
A,DELA,DELA_009,16N02364,Distributed,32.5341667,-87.8172222,0,14,,,7.0,8.2,60.8,31.0,1.42,,,0.35508,11.497267,1.293744
Bt1,DELA,DELA_009,16N02365,Distributed,32.5341667,-87.8172222,14,55,,,34.5,16.3,48.1,35.6,1.45,,,0.30328,11.387362,1.283052
Bt2,DELA,DELA_009,16N02366,Distributed,32.5341667,-87.8172222,55,80,,,67.5,27.4,40.8,31.8,1.47,,,0.3197,9.753745,1.336177
Bt3,DELA,DELA_009,16N02367,Distributed,32.5341667,-87.8172222,80,100,,,90.0,35.9,36.3,27.8,1.52,,,0.32193,8.427389,1.397582
Ag,DELA,DELA_008,16N02368,Distributed,32.5394444,-87.8144444,0,11,,,5.5,1.2,56.2,42.6,1.27,,,0.3565,12.093714,1.663073
Btg1,DELA,DELA_008,16N02369,Distributed,32.5394444,-87.8144444,11,33,,,22.0,2.1,55.1,42.8,1.34,,,0.3516,12.652246,1.552188
Btg2,DELA,DELA_008,16N02370,Distributed,32.5394444,-87.8144444,33,97,,,65.0,8.6,39.8,51.6,1.74,,,0.3765,18.697818,1.595887
A,DELA,DELA_023,16N02371,Distributed,32.5413889,-87.8127778,0,12,,,6.0,11.3,47.3,41.4,1.54,,,0.3431,13.209019,1.347479
Bt1,DELA,DELA_023,16N02372,Distributed,32.5413889,-87.8127778,12,33,,,22.5,12.8,42.4,44.8,1.49,,,0.36168,14.294681,1.398898
Bt2,DELA,DELA_023,16N02373,Distributed,32.5413889,-87.8127778,33,90,,,61.5,16.8,44.7,38.5,1.5,,,0.3122,11.690439,1.29681
A,DELA,DELA_016,16N02374,Distributed,32.5356222,-87.8082556,0,12,,,6.0,5.9,59.3,34.8,1.52,,,0.34776,11.489162,1.313197
AB,DELA,DELA_016,16N02375,Distributed,32.5356222,-87.8082556,12,32,,,22.0,9.6,53.9,36.5,1.68,,,0.35724,12.097806,1.312081
Bt,DELA,DELA_016,16N02376,Distributed,32.5356222,-87.8082556,32,47,,,39.5,18.2,54.5,27.3,1.65,,,0.3792,11.759775,1.253876
Btg1,DELA,DELA_016,16N02377,Distributed,32.5356222,-87.8082556,47,67,,,57.0,19.1,53.8,27.1,1.55,,,0.3495,11.743406,1.253636
Btg2,DELA,DELA_016,16N02378,Distributed,32.5356222,-87.8082556,67,100,,,83.5,18.8,53.5,27.7,1.53,,,0.34602,11.613877,1.255574
A,DELA,DELA_025,16N02379,Distributed,32.53535,-87.8101,0,17,,,8.5,3.9,58.5,37.6,1.54,,,0.35815,11.593959,1.379957
AB,DELA,DELA_025,16N02380,Distributed,32.53535,-87.8101,17,33,,,25.0,12.8,50.4,36.8,1.56,,,0.38778,11.952646,1.300591
Bt,DELA,DELA_025,16N02381,Distributed,32.53535,-87.8101,33,55,,,44.0,17.0,51.6,31.4,1.53,,,0.35926,11.232789,1.267688
Btg,DELA,DELA_025,16N02382,Distributed,32.53535,-87.8101,55,100,,,77.5,19.5,50.0,30.5,1.51,,,0.3384,11.06338,1.268854
Oi,DELA,DELA_028,,Distributed,32.535375,-87.8117306,0,2,-2.0,0.0,1.0,,,,,,,,,
A,DELA,DELA_028,16N02383,Distributed,32.535375,-87.8117306,0,12,0.0,10.0,6.0,8.3,54.7,37.0,,,,,12.186092,1.320977
AB,DELA,DELA_028,16N02384,Distributed,32.535375,-87.8117306,12,32,10.0,30.0,22.0,9.3,53.3,37.4,1.5,,,0.35912,12.282156,1.32
Bt,DELA,DELA_028,16N02385,Distributed,32.535375,-87.8117306,32,51,30.0,49.0,41.5,18.4,51.8,29.8,1.55,,,0.35856,11.257357,1.26289
Btg,DELA,DELA_028,16N02386,Distributed,32.535375,-87.8117306,51,100,49.0,98.0,75.5,19.8,50.3,29.9,1.52,,,0.33785,11.109889,1.267162
A,DELA,DELA_010,16N02387,Distributed,32.5402778,-87.8003028,0,23,,,11.5,7.2,58.3,34.5,1.3,,,0.2952,11.658656,1.306255
AB,DELA,DELA_010,16N02388,Distributed,32.5402778,-87.8003028,23,44,,,33.5,13.3,49.3,37.4,1.36,,,0.30258,12.000334,1.301576
Bt1,DELA,DELA_010,16N02389,Distributed,32.5402778,-87.8003028,44,79,,,61.5,32.3,40.4,27.3,1.39,,,0.28196,9.899346,1.334021
Bt2,DELA,DELA_010,16N02390,Distributed,32.5402778,-87.8003028,72,100,,,86.0,37.8,36.4,25.8,1.5,,,0.2954,8.834117,1.424747
A,DELA,DELA_020,16N02391,Distributed,32.5386389,-87.8015556,0,9,,,4.5,7.9,60.1,32.0,1.39,,,0.35941,11.49431,1.295796
ABt,DELA,DELA_020,16N02392,Distributed,32.5386389,-87.8015556,9,24,,,16.5,15.3,47.3,37.4,1.37,,,0.36332,11.742601,1.292528
Bt1,DELA,DELA_020,16N02393,Distributed,32.5386389,-87.8015556,24,48,,,36.0,27.1,40.2,32.7,1.44,,,0.35632,9.65985,1.333775
Bt2,DELA,DELA_020,16N02394,Distributed,32.5386389,-87.8015556,48,100,,,74.0,37.5,34.7,27.8,1.49,,,0.36448,8.167408,1.445369
A,DELA,DELA_029,16N02395,Distributed,32.5296611,-87.8107306,0,15,,,7.5,22.5,49.6,27.9,1.46,,,0.3186,11.235615,1.271748
E,DELA,DELA_029,,Distributed,32.5296611,-87.8107306,15,22,,,18.5,,,,,,,,,
Atb,DELA,DELA_029,16N02396,Distributed,32.5296611,-87.8107306,22,50,,,36.0,23.3,43.5,33.2,1.42,,,0.33894,10.347377,1.310617
Bt,DELA,DELA_029,16N02397,Distributed,32.5296611,-87.8107306,50,75,,,62.5,26.1,40.1,33.8,1.53,,,0.35391,9.743776,1.329199
BCt,DELA,DELA_029,16N02398,Distributed,32.5296611,-87.8107306,75,100,,,87.5,41.6,30.9,27.5,1.59,,,0.31212,8.327183,1.371304
A1,DELA,DELA_037,16N02399,Distributed,32.53945,-87.8022139,0,16,,,8.0,6.7,60.6,32.7,,,,,11.379907,1.298472
A2,DELA,DELA_037,16N02400,Distributed,32.53945,-87.8022139,16,48,,,32.0,12.8,52.8,34.4,,,,,11.647545,1.286798
Bg,DELA,DELA_037,16N02401,Distributed,32.53945,-87.8022139,48,100,,,74.0,26.6,47.0,26.4,,,,,11.281904,1.306043
A,DELA,DELA_038,16N02402,Distributed,32.5420722,-87.8072,0,8,,,4.0,5.5,47.4,47.1,,,,,15.689754,1.47901
Bt1,DELA,DELA_038,16N02403,Distributed,32.5420722,-87.8072,8,48,,,28.0,7.1,48.9,44.0,,,,,14.324217,1.396132
Bt2,DELA,DELA_038,16N02404,Distributed,32.5420722,-87.8072,48,100,,,74.0,10.2,51.3,38.5,,,,,12.501764,1.325088
A,DELA,DELA_040,16N02405,Distributed,32.538631,-87.804742,0,3,,,1.5,3.8,62.4,33.8,,,,,10.776489,1.360765
Bt,DELA,DELA_040,16N02406,Distributed,32.538631,-87.804742,3,23,,,13.0,7.8,57.0,35.2,,,,,11.823973,1.309873
A,DELA,DELA_040,16N02407,Distributed,32.538631,-87.804742,23,35,,,29.0,18.2,50.1,31.7,,,,,11.095104,1.270294
B't1,DELA,DELA_040,16N02408,Distributed,32.538631,-87.804742,35,51,,,43.0,26.2,46.4,27.4,,,,,10.989786,1.309556
B't2,DELA,DELA_040,16N02409,Distributed,32.538631,-87.804742,51,101,,,76.0,24.4,48.4,27.2,,,,,11.241442,1.285513
BA,DELA,DELA_041,16N02410,Distributed,32.5345361,-87.8013222,0,7,,,3.5,8.7,48.0,43.3,,,,,14.069147,1.378814
Bw1,DELA,DELA_041,16N02411,Distributed,32.5345361,-87.8013222,7,20,,,13.5,12.7,46.2,41.1,,,,,12.943258,1.337082
Bw2,DELA,DELA_041,16N02412,Distributed,32.5345361,-87.8013222,20,61,,,40.5,21.0,44.8,34.2,,,,,10.666304,1.294425
Bw3,DELA,DELA_041,16N02413,Distributed,32.5345361,-87.8013222,61,100,,,80.5,28.7,43.2,28.1,,,,,10.422593,1.337884
A,DELA,DELA_014,16N02414,Distributed,32.5297222,-87.8180556,0,7,,,3.5,4.7,52.8,42.5,1.41,,,0.3328,13.401626,1.402169
Btg,DELA,DELA_014,16N02415,Distributed,32.5297222,-87.8180556,7,29,,,18.0,6.0,45.2,48.8,1.61,,,0.33369,16.729332,1.521923
Bt1,DELA,DELA_014,16N02416,Distributed,32.5297222,-87.8180556,29,53,,,41.0,6.9,50.4,42.7,1.49,,,0.36031,13.782446,1.377216
Bt2,DELA,DELA_014,16N02417,Distributed,32.5297222,-87.8180556,53,90,,,71.5,7.8,52.9,39.3,1.5,,,0.32712,12.731914,1.339972
A,DELA,DELA_005,16N02418,Distributed,32.5230556,-87.8147222,0,6,,,3.0,21.5,54.7,23.8,1.38,,,0.34056,12.830479,1.244871
Bw1,DELA,DELA_005,16N02419,Distributed,32.5230556,-87.8147222,6,22,,,14.0,39.5,39.8,20.7,1.44,,,0.23124,11.789445,1.335589
Bw2,DELA,DELA_005,16N02420,Distributed,32.5230556,-87.8147222,22,68,,,45.0,38.7,40.5,20.8,1.44,,,0.21823,12.00786,1.311879
C,DELA,DELA_005,16N02421,Distributed,32.5230556,-87.8147222,68,100,,,84.0,31.0,41.9,27.1,1.37,,,0.28288,10.336563,1.342228
A,DELA,DELA_011,16N02422,Distributed,32.5202778,-87.8172222,0,11,,,5.5,7.6,62.3,30.1,1.48,,,0.33638,11.435409,1.295625
Ab,DELA,DELA_011,16N02423,Distributed,32.5202778,-87.8172222,11,34,,,22.5,8.9,62.2,28.9,1.49,,,0.35723,11.652244,1.290171
C1,DELA,DELA_011,16N02424,Distributed,32.5202778,-87.8172222,34,58,,,46.0,20.4,53.5,26.1,1.51,,,0.35216,11.944566,1.251772
C2,DELA,DELA_011,16N02425,Distributed,32.5202778,-87.8172222,58,100,,,79.0,21.7,47.6,30.7,1.52,,,0.26426,10.801392,1.283841
A,DELA,DELA_015,16N02426,Distributed,32.5286611,-87.8133861,0,7,,,3.5,9.8,52.8,37.4,,,,,12.27173,1.318139
Bw,DELA,DELA_015,16N02427,Distributed,32.5286611,-87.8133861,7,20,,,13.5,23.5,43.1,33.4,1.53,,,0.30879,10.301176,1.312735
Bt,DELA,DELA_015,16N02428,Distributed,32.5286611,-87.8133861,20,33,,,26.5,14.0,48.5,37.5,1.61,,,0.35427,11.933048,1.298527
Btg,DELA,DELA_015,16N02429,Distributed,32.5286611,-87.8133861,33,100,,,66.5,15.7,47.3,37.0,1.46,,,0.3332,11.627913,1.289454
A,DELA,DELA_021,16N02430,Distributed,32.5270222,-87.8192,0,15,,,7.5,1.5,53.1,45.4,1.35,,,0.3816,13.482388,1.669247
AB,DELA,DELA_021,16N02431,Distributed,32.5270222,-87.8192,15,33,,,24.0,4.5,53.2,42.3,1.56,,,0.36179,13.279456,1.404994
Bw,DELA,DELA_021,16N02432,Distributed,32.5270222,-87.8192,33,48,,,40.5,4.5,43.7,51.8,1.48,,,0.363,18.394972,1.654269
Bt,DELA,DELA_021,16N02433,Distributed,32.5270222,-87.8192,48,100,,,74.0,3.8,46.1,50.1,1.54,,,0.38502,17.070775,1.61992
A,DELA,DELA_024,16N02434,Distributed,32.525125,-87.8177556,0,11,,,5.5,2.4,52.9,44.7,,,,,13.606684,1.555103
Bg,DELA,DELA_024,16N02435,Distributed,32.525125,-87.8177556,11,24,,,17.5,1.5,55.5,43.0,1.46,,,0.38313,12.426075,1.625551
Btg,DELA,DELA_024,16N02436,Distributed,32.525125,-87.8177556,24,68,,,46.0,6.3,51.2,42.5,1.61,,,0.3822,13.653357,1.377884
Cg,DELA,DELA_024,16N02437,Distributed,32.525125,-87.8177556,68,100,,,84.0,7.3,51.4,41.3,1.59,,,0.3432,13.300087,1.359689
A,SCBI,SCBI_002,16N02438,Distributed,38.8950833,-78.1429167,0,11,,,5.5,27.3,54.5,18.2,,0.59,,,17.078735,1.246976
E,SCBI,SCBI_002,16N02439,Distributed,38.8950833,-78.1429167,11,34,,,22.5,28.9,52.1,19.0,1.41,,,0.32368,16.041991,1.271066
Bt1,SCBI,SCBI_002,16N02440,Distributed,38.8950833,-78.1429167,34,56,,,45.0,31.2,44.1,24.7,1.57,,,0.3525,11.424007,1.336036
Bt2,SCBI,SCBI_002,16N02441,Distributed,38.8950833,-78.1429167,56,100,,,78.0,31.3,41.0,27.7,1.64,,,0.39312,10.014216,1.341435
A,SCBI,SCBI_004,16N02442,Distributed,38.8968333,-78.1463611,0,14,,,7.0,15.9,61.8,22.3,,0.79,,,13.977179,1.242875
AB,SCBI,SCBI_004,16N02443,Distributed,38.8968333,-78.1463611,14,25,,,19.5,13.0,60.4,26.6,1.61,,,0.3193,12.184523,1.266034
Bt1,SCBI,SCBI_004,16N02444,Distributed,38.8968333,-78.1463611,25,48,,,36.5,8.4,40.8,50.8,1.6,,,0.4228,18.132741,1.569791
Bt2,SCBI,SCBI_004,16N02445,Distributed,38.8968333,-78.1463611,48,100,,,74.0,11.0,33.1,55.9,1.48,,,0.4544,21.004818,1.778583
Oi,SCBI,SCBI_005,16N02446,Distributed,38.90059,-78.16213,0,4,-4.0,0.0,2.0,,,,,,,,,
A,SCBI,SCBI_005,16N02447,Distributed,38.90059,-78.16213,4,20,0.0,16.0,12.0,24.3,50.8,24.9,1.25,,,0.37848,12.093867,1.267644
Bw,SCBI,SCBI_005,16N02448,Distributed,38.90059,-78.16213,20,46,16.0,42.0,33.0,36.2,43.9,19.9,1.4,,,0.37488,13.935648,1.315392
BC,SCBI,SCBI_005,16N02449,Distributed,38.90059,-78.16213,46,76,42.0,72.0,61.0,12.7,49.9,37.4,1.48,,,0.42294,12.066263,1.3048
2Bt,SCBI,SCBI_005,16N02450,Distributed,38.90059,-78.16213,76,100,72.0,96.0,88.0,29.2,31.2,39.6,1.6,,,0.40727,8.364631,1.431976
Ap,SCBI,SCBI_006,16N02451,Distributed,38.89746,-78.15221,0,20,,,10.0,17.4,49.9,32.7,1.3,,,0.37557,11.144828,1.2731
BA,SCBI,SCBI_006,16N02452,Distributed,38.89746,-78.15221,20,32,,,26.0,13.8,44.3,41.9,1.7,,,0.4636,13.02358,1.343248
Bt,SCBI,SCBI_006,16N02453,Distributed,38.89746,-78.15221,32,58,,,45.0,12.2,41.2,46.6,1.55,,,0.40328,15.259398,1.442449
BCt1,SCBI,SCBI_006,16N02454,Distributed,38.89746,-78.15221,58,77,,,67.5,18.2,44.9,36.9,1.63,,,0.39424,11.237525,1.288978
BCt2,SCBI,SCBI_006,16N02455,Distributed,38.89746,-78.15221,77,100,,,88.5,19.0,50.5,30.5,1.61,,,0.384,11.113729,1.26712
Oi,SCBI,SCBI_007,16N02456,Distributed,38.88478,-78.13045,0,5,-5.0,0.0,2.5,,,,,,,,,
A,SCBI,SCBI_007,16N02457,Distributed,38.88478,-78.13045,5,11,0.0,6.0,8.0,24.3,49.4,26.3,0.96,,,0.30414,11.542285,1.277618
BE,SCBI,SCBI_007,16N02458,Distributed,38.88478,-78.13045,11,28,6.0,23.0,19.5,17.6,47.7,34.7,1.22,,,0.31578,11.154925,1.28031
Bt1,SCBI,SCBI_007,16N02459,Distributed,38.88478,-78.13045,28,51,23.0,46.0,39.5,18.8,42.4,38.8,1.29,,,0.31598,11.383367,1.303795
2Bt2,SCBI,SCBI_007,16N02460,Distributed,38.88478,-78.13045,51,100,46.0,95.0,75.5,14.8,44.7,40.5,1.41,,,0.4004,12.455031,1.320355
A,SCBI,SCBI_008,16N02461,Distributed,38.8877,-78.1473,0,12,,,6.0,13.0,61.9,25.1,1.04,,,0.39376,12.649594,1.265244
